commit	val_bpb	memory_gb	status	description
a95680b	0.000000	0.0	crash	baseline: stock train.py against MTG corpus (32k vocab, 7 train + 1 val shard) — CUDA OOM, only ~5.7GB free with Livepeer containers and embed_server resident
0f2d967	0.000000	0.0	crash	baseline retry: clean wiring (prepare.py = MTG fork), Livepeer stopped, ~20GB VRAM headroom
31252d6	0.000000	22.49	crash	baseline: train.py default (123M params, ctx=2048), full 24GB VRAM (embed_server evicted) — still OOM at first forward pass, allocated 22.17GB before failing on a 256MB bfloat16 buf alloc
91d5703	1.154342	15.4	success	mtg-v0 baseline bs=32 ctx=2048 (bs=128 stock + bs=64 both OOM on 3090; bs=32 peak=15.4GB; 108 steps, 3 epochs, 56.6M tokens, mfu=5.38%). First non-crash run.
1a0dd1d	0.912071	15.4	success	A100 baseline reproduction bs=32 ctx=2048 — 201 steps (vs 108 on 3090), 105.4M tokens (vs 56.6M), mfu=10.52% (vs 5.38%), same peak_vram=15.4GB. 21% better val_bpb than 3090 for same compute budget.
82cef98	0.907667	57.6	success	A100 stock-baseline bs=128 ctx=2048 — REAL anchor for agentic loop. 208 steps, 109M tokens, 6 epochs, mfu=10.89%, peak=57.6GB/80. Marginal gain over bs=32 (0.912) hints corpus is data-limited — agent should explore regularization/architecture, not just batch.
f7b82fa	0.971540	57.6	success-unfair-compare	A100 bs=128 with EXPANDED corpus (14 sources, 10 shards, 81MB raw) + STALE 32k BPE tokenizer. val_bpb=0.972 vs prior 0.908 NOT apples-to-apples: val shard rotated (hash-split over 10 vs 8 shards) + tokenizer trained on old corpus fragments new card-names inefficiently. Next: retrain tokenizer on expanded corpus, re-baseline, then this becomes the real anchor.
e36fddd	0.935199	57.6	success	A100 CLEAN ANCHOR bs=128 ctx=2048 on expanded corpus (14 sources, 81MB) + RETRAINED 32k BPE tokenizer. 204 steps, 107M tokens, mfu=10.67%, peak=57.6GB. This is the real agentic-loop anchor — not directly comparable to 0.908 (old 70MB corpus) since the held-out val distribution is harder (cards/flavor/archetypes included). Agent optimizes from here.
41a3dce	1.327221	57.6	success-overfit	30min run bs=128 TIME_BUDGET=1800s on expanded corpus+fresh tokenizer. 1233 steps, 646M tokens, 26 EPOCHS. train_loss=0.103 (memorized), val_bpb=1.327 (WORSE than 5min anchor 0.935). Smoking gun: corpus 100x too small for 123M model. Fix = scale corpus not compute.
d7f0337	0.969371	57.6	success	v3 corpus anchor bs=128 5min on 148MB corpus (price_narratives added) + retrained tokenizer. 199 steps, 104M tokens, 3 epochs, mfu=10.38%. val_bpb=0.969 (vs v2 0.935; NOT apples-apples — val shard rotated again with 16 shards). Key signal: final train_loss=0.525 vs v2 1.88 — 3.6x lower per same compute. Corpus giving more signal per token but val distribution got harder. 30min would overfit faster on v3.
ad7af34	0.945256	26.6	success	v3 SHRUNK model DEPTH=4 (35.9M params, 3.4x smaller) bs=128 5min. 208 steps, 109M tokens, 3 epochs. val_bpb=0.945 (vs v3 123M=0.969, -2.5%). train_loss end=1.94 (not memorizing, healthy). Model-size hypothesis confirmed: 123M was overfitting 40M tokens. peak_vram=26.6GB only 33% of A100.
b38bf62	0.641603	26.6	success	v3 SHRUNK+LONG DEPTH=4 (35.9M) bs=128 30min on v3 corpus (148MB). 1250 steps, 655M tokens, 16 epochs, mfu=3.06%. val_bpb=0.642 (vs 5min 0.945 = -32%). Real learning: continued improvement with compute. train_loss=0.28 — fitting but not memorizing like 123M did (0.10). THIS is the project-is-worth-something signal.
